Error-kind,Expected args,Error description,From code (parsed with Gemini),API message (by Ernest)
NONE,N/A,Hardware-backed encryption is not available,#N/A,Encryption unavailable.
UNKNOWN,N/A,,#N/A,Unknown error kind.
ANY,UNKNOWN,,#N/A,"(this is not an error, the action will just be ignored)"
ErrorKindNone,N/A,,No error occurred.,N/A
ErrorKindInternal,N/A,,Some kind of unexpected internal error occurred that doesn't have a more appropriate error kind.,Unexpected internal error occurred.
ErrorKindShutdownRequired,N/A,,"A shutdown is required, and is returned in response to some actions.",System shutdown is required to complete a previous action.
ErrorKindRebootRequired,N/A,,"A reboot is required, and is returned in response to some actions.",System reboot is required to complete a previous action.
ErrorKindUnexpectedAction,N/A,,"An action was supplied that is unexpected because it isn't a remedial action associated with the previously returned errors, or because the action is not supported.",The provided action is unexpected because it is either not supported or not associated with the previously returned errors.
ErrorKindMissingArgument,N/A,,"Returned if an action was supplied that requires one or more arguments, but not enough arguments are supplied.",Not enough action arguments provided.
ErrorKindInvalidArgument,InvalidActionArgumentDetails,,"Returned if an action was supplied that requires one or more arguments, but one or more of the supplied arguments are of an invalid type or are an invalid value. This will be accompanied with an argument of the type InvalidActionArgumentDetails.",One or more of the supplied arguments are of an invalid type or value.
ErrorKindActionFailed,N/A,,The supplied action did not succeed for some reason.,The provided action did not succeed.
ErrorKindRunningInVM,N/A,,The current environment is a virtual machine.,The current environment is a virtual machine.
ErrorKindSystemNotEFI,N/A,,The current host system is not an EFI system.,The current host system is not an EFI system.
ErrorKindEFIVariableAccess,EFIVariableAccessErrorArg,Hardware-backed encryption is not available in this computer.,"An error occurred when accessing an EFI variable. This will be supplied with a EFIVariableAccessErrorArg as the argument, which details exactly what access error occurred.",Error occurred when accessing an EFI variable.
ErrorKindNoSuitableTPM2Device,N/A,This computer does not have a compatible TPM.,The device has no suitable TPM2 device. This is a fatal error. This error means that full-disk encryption is not supported on this device.,The device has no suitable TPM2 device.
ErrorKindTPMDeviceFailure,N/A,There is an issue with this computer's TPM. ,The TPM device has failed an internal self check.,The TPM device has failed an internal self check.
ErrorKindTPMDeviceDisabled,N/A,This computer's TPM is disabled.,"There is a TPM device but it is currently disabled. Note that after enabling it, it may still fail further checks which mean it is unsuitable.",There is a TPM device that is currently disabled.
ErrorKindTPMHierarchiesOwned,TPM2OwnedHierarchiesError,There is an issue with this computer's TPM. ,"One or more TPM hierarchy is currently owned, either because it has an authorization value or policy set. This will be supplied with a TPM2OwnedHierarchiesError as the argument.","One or more TPM hierarchy is currently owned, either because it has an authorization value or policy set."
ErrorKindTPMDeviceLockoutLockedOut,TPMDeviceLockoutRecoveryArg,There is an issue with this computer's TPM. ,The TPM's lockout hierarchy is currently unavailable because it is locked out. This is not the same as ErrorKindTPMDeviceLockout.,The TPM's lockout hierarchy is currently unavailable because it is locked out.
ErrorKindInsufficientTPMStorage,N/A,There is an issue with this computer's TPM. ,There isn't sufficient storage space available to support FDE along with reprovisioning in the future.,Insufficient storage space available to support FDE along with reprovisioning in the future.
ErrorKindNoSuitablePCRBank,<to be added>,There is an issue with this computer's TPM. ,It was not possible to select a suitable PCR bank. This could be because some mandatory PCR values are inconsistent with the TCG log.,It is not possible to select a suitable PCR bank. This could be because some mandatory PCR values are inconsistent with the TCG log.
ErrorKindMeasuredBoot,N/A,,There was an error with the TCG log or some other error detected from the TCG log that isn't represented by a more specific error kind.,Error with the TCG log or some other error detected from the TCG log that is not represented by a more specific error kind.
ErrorKindEmptyPCRBanks,EmptyPCRBanksError,There is an issue with this computer's TPM. ,One or more PCR banks that are not present in the TCG log are enabled but have unused PCRs in the TCG defined space.,"One or more PCR banks that are not present in the TCG log are enabled but have unused PCRs in the TCG defined space (ie, any of PCRs 0-7 are at their reset value)."
ErrorKindTPMCommandFailed,TPMErrorResponse,,An error occurred whilst executing a TPM command. It will be accompanied with an argument of the type TPMErrorResponse.,An error occurred whilst executing a TPM command.
ErrorKindInvalidTPMResponse,N/A,,"The response from the TPM is invalid, which makes it impossible to obtain a response code.","The response from the TPM is invalid, which makes it impossible to obtain a response code."
ErrorKindTPMCommunication,N/A,#N/A,An error occurred at the transport layer when executing a TPM command.,An error occurred at the transport layer when executing a TPM command.
ErrorKindUnsupportedPlatform,N/A,#N/A,The current host platform is not compatible with FDE.,The current host platform is not compatible with FDE.
ErrorKindUEFIDebuggingEnabled,N/A,?,The platform firmware currently has a debugging endpoint enabled.,The platform firmware currently has a debugging endpoint enabled.
ErrorKindInsufficientDMAProtection,N/A,This computer has insufficient DMA protection set up.,I/O DMA remapping was disabled during the current boot cycle.,I/O DMA remapping was disabled during the current boot cycle.
ErrorKindNoKernelIOMMU,N/A,?,"The OS kernel was not built with DMA remapping support, or some configuration has resulted in it being disabled.","The OS kernel was not built with DMA remapping support, or some configuration has resulted in it being disabled."
ErrorKindTPMStartupLocalityNotProtected,N/A,,The system has a discrete TPM and the startup locality is not protected from access by privileged code running at ring 0.,The system has a discrete TPM and the startup locality is not protected from access by privileged code running at ring 0.
ErrorKindHostSecurity,N/A,?,There is some problem with the system security that isn't represented by a more specific error kind.,Problem with the system security that is not represented by a more specific error kind.
ErrorKindPCRUnusable,PCRUnusableArg,There is an issue with this computer's TPM. ,An error in the way that the platform firmware performs measurements such that the PCR becomes unusable. This will be accompanied by a PCRUnusableArg argument.,An error in the way that the platform firmware performs measurements such that the PCR becomes unusable.
ErrorKindPCRUnsupported,PCRUnsupportedArgs,#N/A,A required PCR is currently unsupported by the efi sub-package. This will be accompanied by a PCRUnsupportedArgs argument.,Required PCR is currently unsupported by the efi sub-package.
ErrorKindVARSuppliedDriversPresent,<to be added>,,Drivers running from value-added-retailer components were detected.,Drivers running from value-added-retailer components were detected.
ErrorKindSysPrepApplicationsPresent,N/A,,System preparation applications were detected to be running before the operating system.,System preparation applications were detected to be running before the operating system.
ErrorKindAbsolutePresent,N/A,?,Absolute was detected to be executing before the initial OS loader.,Absolute was detected to be executing before the initial OS loader.
ErrorKindInvalidSecureBootMode,N/A,Secure boot is disabled in this computer.,The secure boot mode is invalid. Either secure boot is disabled or deployed mode is not enabled.,The secure boot mode is invalid.
ErrorKindWeakSecureBootAlgorithmsDetected,N/A,,"Either pre-OS components were authenticated with weak Authenticode digests, or CAs with weak public keys were used to authenticate components.","Either pre-OS components were authenticated with weak Authenticode digests, or CAs with weak public keys were used to authenticate components."
ErrorKindPreOSDigestVerificationDetected,<to be added>,,Pre-OS components were authenticated by matching their Authenticode digest to an entry in db.,Pre-OS components were authenticated by matching their Authenticode digest to an entry in db.